Dataset,Time (s),size,RelErr
test1,0.0,2,0.0
test2,0.0,3,0.5
test3,0.0,6,0.0
test4,0.0,4,0.0
test5,0.0,4,0.0
small1,0.0,5,0.0
small2,0.0,4,0.33
small3,0.0,6,0.2
small4,0.0,5,0.25
small5,0.0,6,0.2
small6,0.0,4,0.33
small7,0.0,4,0.33
small8,0.0,3,0.5
small9,0.0,4,0.33
small10,0.0,3,0.5
small11,0.0,5,0.25
small12,0.0,4,0.33
small13,0.0,3,0.5
small14,0.0,3,0.5
small15,0.0,3,0.5
small16,0.0,3,0.5
small17,0.0,3,0.5
small18,0.0,3,0.5
large1,0.35,50,0.0
large2,0.0,20,0.05
large3,0.0,17,0.13
large4,0.14,152,0.67
large5,0.0,8,0.33
large6,0.01,7,0.17
large7,0.34,172,0.81
large8,0.0,6,0.2
large9,0.0,16,0.14
large10,0.28,318,0.44
large11,0.06,56,0.4
large12,0.0,18,0.2
